Articolo;Prezzo 1 (€);Qt min 2;Prezzo 2 (€);Qt min 3;Prezzo 3 (€);Qt min 4;Prezzo 4 (€);Qt min 5;Prezzo 5 (€);Qt min 6;Prezzo 6 (€);Prezzo minimo;Cod transfert;
ALU50X70MATT-NC;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU50X75LUX;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU50X75LUX-NC;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU50X75MATT;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU50X75MATT-NC;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU60X80LUX;77.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU60X80LUX-NC;77.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU60X80MATT;77.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU60X80MATT-NC;77.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU70X100LUX;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU70X100LUX-NC;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU70X100MATT;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
ALU70X100MATT-NC;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFMONTAGGI;
AVT10X13-AC-LU;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X13-AC-PE;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X13B-AC-LU;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X13B-AC-PE;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X15-AC-LU;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X15-AC-PE;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X15B-AC-LU;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X15B-AC-PE;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X-AC-LU;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10X-AC-PE;0.34;6.00;0.26;51.00;0.24;101.00;0.21;251.00;0.19;601.00;0.17;0.00;TRF;
AVT10XPAN-AC-LU;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRF;
AVT10XPAN-AC-PE;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRF;
AVT12X16-AC-LU;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X16-AC-PE;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X16B-AC-LU;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X16B-AC-PE;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X18-AC-LU;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X18-AC-PE;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X18B-AC-LU;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X18B-AC-PE;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X-AC-LU;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT12X-AC-PE;0.43;6.00;0.33;51.00;0.31;101.00;0.28;251.00;0.26;601.00;0.24;0.00;TRF;
AVT13X17-AC-LU;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X17-AC-PE;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X17B-AC-LU;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X17B-AC-PE;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X19-AC-LU;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X19-AC-PE;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X19B-AC-LU;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X19B-AC-PE;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X-AC-LU;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT13X-AC-PE;0.63;6.00;0.47;51.00;0.36;101.00;0.32;251.00;0.32;601.00;0.32;0.00;TRF;
AVT15X20-AC-LU;0.94;6.00;0.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT15X20-AC-PE;0.94;6.00;0.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT15X22-AC-LU;0.94;6.00;0.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT15X22-AC-PE;0.94;6.00;0.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT18X24-AC-LU;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT18X24-AC-PE;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT18X27-AC-LU;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT18X27-AC-PE;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT20X20-AC-LU;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT20X20-AC-PE;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT20X27-AC-LU;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT20X27-AC-PE;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT20X30-AC-LU;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT20X30-AC-PE;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT24X32-AC-LU;2.50;6.00;1.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT24X32-AC-PE;2.50;6.00;1.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT24X36-AC-LU;2.50;6.00;1.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT24X36-AC-PE;2.50;6.00;1.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X30-AC-LU;3.85;6.00;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X30-AC-PE;3.85;6.00;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X40-AC-LU;3.85;6.00;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X40-AC-PE;3.85;6.00;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X45-AC-LU;3.85;6.00;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X45-AC-PE;3.85;6.00;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X60PAN-AC-LU;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X60PAN-AC-PE;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X65PAN-AC-LU;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X65PAN-AC-PE;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X80PAN-AC-LU;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X80PAN-AC-PE;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
AVT30X90PAN-AC-LU;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
